flight_number,airline_name,departure_airport,departure_city,departure_country,departure_time,arrival_airport,arrival_city,arrival_country,duration_hours,passenger_count,flight_status,distance_traveled_km,meal_service,in-flight_entertainment,wifi_available,airport_name,airport_city,airport_region,airport_country,arrival_time,airline_code,departure_date,arrival_date
BA7786,British Airways,Heathrow,Watulabara,Indonesia,10:35 AM,Charles de Gaulle,Remolino,Colombia,5,188,cancelled,1663,vegan,false,true,Wonenara Airport,Wonenara,PG-EHG,PG,12:26 PM,BA,3/2/2026,3/2/2026
SQ1487,Singapore Airlines,Changi,Yatunpu,China,4:08 AM,Beijing Capital International,Huaqiao,China,10,202,on-time,845,vegan,true,false,Kasama Airport,Kasama,ZM-05,ZM,11:40 AM,SQ,10/17/2026,10/17/2026
AI2595,Air India,Indira Gandhi International,Pawłosiów,Poland,1:38 AM,Chhatrapati Shivaji International,Rukem,Indonesia,1,454,cancelled,5133,gluten-free,true,false,Columbus Municipal Airport,Columbus,US-IN,US,8:37 AM,AI,4/20/2026,4/20/2026
LH9661,Lufthansa,Frankfurt Airport,Uga,Nigeria,10:43 AM,Charles de Gaulle,Xinfang,China,5,146,on-time,7225,regular,false,false,Barter Island LRRS Airport,Barter Island Lrrs,US-AK,US,6:53 AM,LH,6/17/2026,6/17/2026
WN8288,Southwest Airlines,Los Angeles International,Miandrarivo,Madagascar,3:30 PM,Vancouver International,Kazaure,Nigeria,3,190,on-time,6453,gluten-free,true,true,Jomo Kenyatta International Airport,Nairobi,KE-110,KE,9:06 AM,WN,5/2/2026,5/2/2026
KE2503,Korean Air,Incheon International,Konstantinovo,Belarus,11:00 PM,Haneda,Wanlongshan,China,5,76,on-time,4051,vegetarian,false,false,Portland Hillsboro Airport,Portland,US-OR,US,3:01 AM,KE,2/18/2026,2/18/2026
NZ6628,Air New Zealand,Auckland Airport,Alicia,Philippines,5:05 AM,Sydney Airport,Nangewer,Indonesia,11,38,delayed,5309,vegan,true,true,Canouan Airport,Canouan,VC-06,VC,12:13 PM,NZ,12/27/2026,12/27/2026
QF8551,Qantas,Sydney Airport,Gempolan Wetan,Indonesia,7:24 AM,Melbourne Airport,Arkalyk,Kazakhstan,9,214,on-time,6929,regular,true,false,Phan Thiet Airport,Phan Thiet,VN-40,VN,9:34 PM,QF,8/17/2026,8/17/2026
LA9322,LATAM Airlines,São Paulo/Guarulhos International,Cintra,Argentina,8:52 PM,Hartsfield-Jackson Atlanta,El Corozal,Honduras,1,194,on-time,7731,regular,false,false,Fazenda das Represas Airport,São Miguel Arcanjo,BR-SP,BR,7:13 AM,LA,3/4/2026,3/4/2026
AA3879,American Airlines,John F. Kennedy International,Klang,Malaysia,6:04 PM,Hartsfield-Jackson Atlanta,Tsuen Wan,Hong Kong,3,454,cancelled,3510,vegan,false,true,Bukavu Kavumu Airport,,CD-SK,CD,1:46 AM,AA,12/18/2026,12/18/2026
DL6641,Delta Air Lines,John F. Kennedy International,Rimpeso,Philippines,8:01 AM,San Francisco International,Shangfang,China,2,472,cancelled,6856,gluten-free,true,true,Egal International Airport,Hargeisa,SO-WO,SO,2:19 AM,DL,6/2/2026,6/2/2026
WN5669,Southwest Airlines,Los Angeles International,Zbarazh,Ukraine,3:32 AM,San Francisco International,Messina,Italy,3,252,cancelled,2025,vegetarian,true,true,Gulkana Airport,Gulkana,US-AK,US,10:52 AM,WN,7/10/2026,7/10/2026
AI3823,Air India,Indira Gandhi International,Sumberejo,Indonesia,2:30 PM,Chhatrapati Shivaji International,Qutun,China,3,221,cancelled,5482,vegan,false,true,Barnstable Municipal Boardman Polando Field,Hyannis,US-MA,US,4:01 PM,AI,1/25/2026,1/25/2026
WN7860,Southwest Airlines,Los Angeles International,Kliwon Cibingbin,Indonesia,3:31 PM,San Francisco International,Colomi,Bolivia,3,309,delayed,525,vegetarian,true,false,Stuttgart Airport,Stuttgart,DE-BW,DE,3:53 AM,WN,5/20/2026,5/20/2026
